,7972,7972,7972,7972,7972,7973,7973,7973,7973,7973,7974,7974,7974,7974,7974,7978,7978,7978,7978,7978,7979,7979,7979,7979,7979,7982,7982,7982,7982,7982,7993,7993,7993,7993,7993,8305,8305,8305,8305,8305,8315,8315,8315,8315,8315,8321,8321,8321,8321,8321,8866,8866,8866,8866,8866,8886,8886,8886,8886,8886,8889,8889,8889,8889,8889,8890,8890,8890,8890,8890,8895,8895,8895,8895,8895
jitter_noise,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125,0.001,0.01,0.05,0.1,0.125
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.02,0.02,0.053333333,0.126666667,0.146666667,0,0,0,0.073333333,0.066666667,0,0,0,0.013333333,0.026666667,0,0,0,0.053333333,0.033333333,0,0,0.146666667,0.446666667,0.586666667,0.02,0.023333333,0.066666667,0.093333333,0.173333333,0,0,0,0.04,0.053333333,0,0,0.093333333,0.526666667,0.526666667,0,0,0,0.013333333,0.086666667,0.026666667,0,0.013333333,0.04,0.06,0,0,0.12,0.42,0.54,0,0,0.026666667,0.046666667,0.1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0.193333333,0.426666667,0.573333333
3,0.146666667,0.106666667,0.163333333,0.243333333,0.31,0,0,0.013333333,0.066666667,0.123333333,0,0,0,0.021666667,0.043333333,0,0,0.07,0.226666667,0.353333333,0,0,0.093333333,0.406666667,0.466666667,NaN,NaN,NaN,NaN,NaN,0.153333333,0.13,0.186666667,0.213333333,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.01,0.053333333,0.11,0,0,0.196666667,0.613333333,0.693333333,0.006666667,0,0.03,0.106666667,0.13,0.173333333,0.2,0.17,0.26,0.313333333,0,0,0,0.016666667,0.036666667,0,0,0.26,0.543333333,0.6
4,0.364444444,0.348888889,0.355555556,0.442222222,0.517777778,0.013333333,0.02,0.064444444,0.115555556,0.204444444,0,0,0,0.017777778,0.075555556,0,0,0.057777778,0.255555556,0.364444444,0,0,0.046666667,0.364444444,0.437777778,0.068888889,0.088611111,0.091111111,0.213333333,0.213333333,0.286666667,0.242222222,0.291111111,0.471111111,0.542222222,0.211111111,0.22,0.455555556,0.753333333,0.808888889,0.182222222,0.182222222,0.262222222,0.502222222,0.546666667,0,0.013333333,0.051111111,0.16,0.182222222,0,0,0.266666667,0.7,0.775555556,0.01,0.088888889,0.131111111,0.164444444,0.215555556,0.151111111,,0.164444444,0.288888889,0.34,NaN,NaN,NaN,NaN,NaN,0,0,0.406666667,0.72,0.84
5,1,1,1,1,1,0.095,0.128333333,0.123333333,0.206666667,0.268333333,0,0,0,0.023333333,0.091666667,0,0,0.076666667,0.31,0.421666667,0,0,0.073333333,0.336666667,0.491666667,0.108333333,0.076166667,0.061666667,0.165,0.245,0.386666667,0.368333333,0.398333333,0.615,0.656666667,0.113333333,0.118333333,0.221666667,0.603333333,0.695,0.133333333,0.123333333,0.108333333,0.403333333,0.536666667,0.105,0.04,0.106666667,0.218333333,0.355,0,0,0.295,0.801666667,0.868333333,0.0175,0.146666667,0.133333333,0.243333333,0.326666667,0.208333333,0.186666667,0.195,0.401666667,0.446666667,0.0875,0.076666667,0.123333333,0.204166667,0.236666667,0,0.056666667,0.526666667,0.845,0.91
6,1,1,1,1,1,0.18,0.184,0.208,0.304,0.412,0,0,0.002666667,0.020666667,0.085333333,0,0,0.053333333,0.284,0.458666667,0,0,0.04,0.373333333,0.473333333,0.044,0.052,0.061333333,0.164,0.324,0.328,0.384,0.512,0.677333333,0.753333333,0.213333333,0.202666667,0.501333333,0.706666667,0.769333333,NaN,NaN,NaN,NaN,NaN,0.137333333,0.166666667,0.22,0.289333333,0.381333333,0,0,0.301333333,0.893333333,0.946666667,0.026,0.201333333,0.218666667,0.377333333,0.518666667,0.230666667,0.234666667,0.270666667,0.408,0.436,0.164666667,0.145333333,0.189333333,0.273333333,0.345333333,,,,,
7,1,1,1,1,1,0.394444444,0.336666667,0.413333333,0.434444444,0.544444444,0,0,0,0.036111111,0.127777778,0,0,0.135555556,0.493333333,0.711111111,0,0,0.081111111,0.426666667,0.534444444,0.063333333,0.075,0.081111111,0.214444444,0.328888889,1,1,1,1,1,1,1,1,1,1,0.453333333,0.045,0.575555556,0.793333333,0.812222222,0.211111111,0.218888889,0.264444444,0.295555556,0.462222222,0,0,0.333333333,0.868888889,0.95,0.000555556,0.196666667,0.312222222,0.406666667,0.538888889,0.277777778,0.307777778,0.335555556,0.465555556,0.504444444,0.185555556,0.206666667,0.218333333,0.327222222,0.403333333,,,,,
8,1,1,1,1,1,0.358095238,0.38,0.375238095,0.499047619,0.531428571,0,0,0,0.028571429,0.118095238,0,0,0.122857143,0.6,0.7,0,0,0.046666667,0.408571429,0.543809524,0.086666667,0.051904762,0.086666667,0.319047619,0.456190476,,,,,,1,1,1,1,1,0.430476191,0.36,0.504761905,0.751428571,0.817142857,0.261904762,0.235238095,0.332380952,0.412380952,0.475238095,0,0,0.322857143,0.925714286,0.951428571,0.002380952,0.137142857,0.243809524,0.522857143,0.597142857,0.316190476,0.327619048,0.4,0.521904762,0.58,0.204761905,0.224761905,0.243809524,0.365714286,0.430952381,,,,,
9,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0.123333333,0.560833333,0.710833333,0,0,0.073333333,0.3625,0.455833333,0.081666667,0.06125,0.154166667,0.395833333,0.465833333,,,,,,,,,,,0.295,0.279166667,0.43,0.723333333,0.824166667,1,1,1,1,1,,,,,,,,,,,0.358333333,0.368333333,0.373333333,0.559166667,0.658333333,0.274166667,0.240833333,0.35125,0.534583333,0.565,,,,,
10,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0.12962963,0.588888889,0.682962963,0,0,0.053333333,0.374074074,0.571851852,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,0.46,0.48,0.54962963,0.725185185,0.711851852,0.343703704,0.317777778,0.423333333,0.55037037,0.606666667,,,,,
11,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,0.518,0.549333333,0.596666667,0.727333333,0.734666667,0.609,0.634,0.662666667,0.734666667,0.758333333, ,,,,
12,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,0.627878788,0.676363636,0.755757576,0.833333333,0.848484849,0.72,0.687272727,0.781515152,0.81030303,0.818181818,,,,,
13,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,0.737222222,0.758888889,0.851111111,0.877777778,0.887777778,0.836944444,0.839444444,0.870833333,0.8825,0.883333333,,,,,
14,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854871795,0.820512821,0.925128205,0.932820513,0.91948718,,,,,,,,,,
15,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,